field_1,xcoord,ycoord,PA,Value
481,558192.1517,1524687.381,outside_bhadra,1
482,558192.1517,1524107.381,outside_bhadra,1
483,558192.1517,1523527.381,outside_bhadra,1
484,558192.1517,1522947.381,outside_bhadra,1
485,558192.1517,1517147.381,outside_bhadra,1
486,558192.1517,1516567.381,outside_bhadra,1
487,558192.1517,1515987.381,outside_bhadra,1
488,558192.1517,1515407.381,outside_bhadra,1
489,558192.1517,1514827.381,outside_bhadra,1
490,558192.1517,1514247.381,outside_bhadra,1
491,558192.1517,1513667.381,outside_bhadra,1
492,558192.1517,1513087.381,outside_bhadra,1
493,558192.1517,1512507.381,outside_bhadra,1
494,558192.1517,1511347.381,outside_bhadra,1
495,558192.1517,1510767.381,outside_bhadra,1
496,558192.1517,1498587.381,outside_bhadra,1
497,558192.1517,1497427.381,outside_bhadra,1
498,558192.1517,1496847.381,outside_bhadra,1
499,558192.1517,1496267.381,outside_bhadra,1
500,558192.1517,1495687.381,outside_bhadra,1
501,558192.1517,1495107.381,outside_bhadra,1
502,558192.1517,1494527.381,outside_bhadra,1
503,558192.1517,1493947.381,outside_bhadra,1
504,558192.1517,1493367.381,outside_bhadra,1
505,558192.1517,1484087.381,outside_bhadra,1
506,558192.1517,1478867.381,outside_bhadra,1
507,558192.1517,1478287.381,outside_bhadra,1
508,558192.1517,1477707.381,outside_bhadra,1
509,558192.1517,1474227.381,outside_bhadra,1
510,558192.1517,1473647.381,outside_bhadra,1
511,558192.1517,1473067.381,outside_bhadra,1
512,558192.1517,1472487.381,outside_bhadra,1
513,558192.1517,1469587.381,outside_bhadra,1
514,558772.1517,1527007.381,outside_bhadra,1
515,558772.1517,1526427.381,outside_bhadra,1
516,558772.1517,1525847.381,outside_bhadra,1
517,558772.1517,1525267.381,outside_bhadra,1
518,558772.1517,1524687.381,outside_bhadra,1
519,558772.1517,1524107.381,outside_bhadra,1
520,558772.1517,1523527.381,outside_bhadra,1
521,558772.1517,1522947.381,outside_bhadra,1
522,558772.1517,1517147.381,outside_bhadra,1
523,558772.1517,1516567.381,outside_bhadra,1
524,558772.1517,1515987.381,outside_bhadra,1
525,558772.1517,1515407.381,outside_bhadra,1
526,558772.1517,1514827.381,outside_bhadra,1
527,558772.1517,1513667.381,outside_bhadra,1
528,558772.1517,1513087.381,outside_bhadra,1
529,558772.1517,1512507.381,outside_bhadra,1
530,558772.1517,1510767.381,outside_bhadra,1
531,558772.1517,1498007.381,outside_bhadra,1
532,558772.1517,1497427.381,outside_bhadra,1
533,558772.1517,1496847.381,outside_bhadra,1
534,558772.1517,1496267.381,outside_bhadra,1
535,558772.1517,1495687.381,outside_bhadra,1
536,558772.1517,1494527.381,outside_bhadra,1
537,558772.1517,1483507.381,outside_bhadra,1
538,558772.1517,1482347.381,outside_bhadra,1
539,558772.1517,1478287.381,outside_bhadra,1
540,558772.1517,1474227.381,outside_bhadra,1
541,558772.1517,1473647.381,outside_bhadra,1
542,558772.1517,1473067.381,outside_bhadra,1
543,558772.1517,1472487.381,outside_bhadra,1
544,559352.1517,1527587.381,outside_bhadra,1
545,559352.1517,1527007.381,outside_bhadra,1
546,559352.1517,1526427.381,outside_bhadra,1
547,559352.1517,1525847.381,outside_bhadra,1
548,559352.1517,1525267.381,outside_bhadra,1
549,559352.1517,1524687.381,outside_bhadra,1
550,559352.1517,1524107.381,outside_bhadra,1
551,559352.1517,1523527.381,outside_bhadra,1
552,559352.1517,1522947.381,outside_bhadra,1
553,559352.1517,1519467.381,outside_bhadra,1
554,559352.1517,1517727.381,outside_bhadra,1
555,559352.1517,1517147.381,outside_bhadra,1
556,559352.1517,1515407.381,outside_bhadra,1
557,559352.1517,1513667.381,outside_bhadra,1
558,559352.1517,1513087.381,outside_bhadra,1
559,559352.1517,1510767.381,outside_bhadra,1
560,559352.1517,1498007.381,outside_bhadra,1
561,559352.1517,1496267.381,outside_bhadra,1
562,559352.1517,1495107.381,outside_bhadra,1
563,559352.1517,1486987.381,outside_bhadra,1
564,559352.1517,1486407.381,outside_bhadra,1
565,559352.1517,1485827.381,outside_bhadra,1
566,559352.1517,1485247.381,outside_bhadra,1
567,559352.1517,1483507.381,outside_bhadra,1
568,559352.1517,1482927.381,outside_bhadra,1
569,559352.1517,1480607.381,outside_bhadra,1
570,559352.1517,1479447.381,outside_bhadra,1
571,559352.1517,1478867.381,outside_bhadra,1
572,559352.1517,1478287.381,outside_bhadra,1
573,559352.1517,1477707.381,outside_bhadra,1
574,559352.1517,1477127.381,outside_bhadra,1
575,559352.1517,1474227.381,outside_bhadra,1
576,559932.1517,1527587.381,outside_bhadra,1
577,559932.1517,1527007.381,outside_bhadra,1
578,559932.1517,1526427.381,outside_bhadra,1
579,559932.1517,1525847.381,outside_bhadra,1
